Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
314,2019,3,Catamarca,929.0,32415.000000000004
315,2019,3,Chaco,1.999,-30.03499999999999
316,2019,3,Chubut,697.0,24295.0
317,2019,3,Córdoba,2.319,-18.834999999999994
318,2019,3,Corrientes,1.67,-41.55
319,2019,3,Entre Ríos,1.47,-48.55
320,2019,3,Formosa,1.322,-53.73
321,2019,3,Jujuy,1.197,-58.105
322,2019,3,La Pampa,572.0,19920.0
323,2019,3,La Rioja,800.0,27900.0
324,2019,3,Mendoza,611.0,21285.000000000004
325,2019,3,Misiones,1.793,-37.245
326,2019,3,Neuquén,2.375,-16.875000000000004
327,2019,3,Río Negro,1.598,-44.06999999999999
328,2019,3,Salta,1.475,-48.37499999999999
329,2019,3,San Juan,604.0,21040.0
330,2019,3,San Luis,1.974,-30.909999999999993
331,2019,3,Santa Cruz,502.0,17470.0
332,2019,3,Santa Fe,1.817,-36.405
333,2019,3,Santiago Del Estero,939.0,32765.000000000004
334,2019,3,Tierra Del Fuego,669.0,23315.0
335,2019,3,Tucumán,1.932,-32.38
336,2019,2,Buenos Aires,2.248,18.020000000000014
337,2019,2,Capital Federal,3.035,59.33750000000002
338,2019,2,Catamarca,881.0,46152.5
339,2019,2,Chaco,1.601,-15.947499999999993
340,2019,2,Chubut,605.0,31662.5
341,2019,2,Córdoba,1.843,-3.2424999999999926
342,2019,2,Corrientes,1.383,-27.3925
343,2019,2,Entre Ríos,1.219,-36.00249999999999
344,2019,2,Formosa,1.084,-43.089999999999996
345,2019,2,Jujuy,1.207,-36.63249999999999
346,2019,2,La Pampa,549.0,28722.500000000004
347,2019,2,La Rioja,789.0,41322.5
348,2019,2,Mendoza,603.0,31557.5
349,2019,2,Misiones,1.45,-23.875
350,2019,2,Neuquén,1.724,-9.489999999999998
351,2019,2,Río Negro,1.163,-38.94249999999999
352,2019,2,Salta,1.255,-34.112500000000004
353,2019,2,San Juan,612.0,32030.0
354,2019,2,San Luis,1.988,4.370000000000007
355,2019,2,Santa Cruz,601.0,31452.500000000004
356,2019,2,Santa Fe,1.507,-20.882500000000004
357,2019,2,Santiago Del Estero,710.0,37175.0
358,2019,2,Tierra Del Fuego,634.0,33185.0
359,2019,2,Tucumán,1.853,-2.717499999999995
360,2019,1,Buenos Aires,1.964,106.22000000000003
361,2019,1,Capital Federal,2.472,159.56
362,2019,1,Catamarca,796.0,83480.0
363,2019,1,Chaco,1.344,41.120000000000026
364,2019,1,Chubut,589.0,61745.00000000001
365,2019,1,Córdoba,1.573,65.165
366,2019,1,Corrientes,1.205,26.52500000000002
367,2019,1,Entre Ríos,1.066,11.930000000000017
368,2019,1,Formosa,983.0,103115.00000000001
369,2019,1,Jujuy,856.0,89780.0
370,2019,1,La Pampa,506.0,53030.00000000001
371,2019,1,La Rioja,709.0,74345.0
372,2019,1,Mendoza,574.0,60170.00000000001
373,2019,1,Misiones,1.251,31.355
374,2019,1,Neuquén,1.588,66.74000000000002
375,2019,1,Río Negro,1.049,10.145000000000003
376,2019,1,Salta,1.038,8.990000000000009
377,2019,1,San Juan,584.0,61220.00000000001
378,2019,1,San Luis,871.0,91355.0
379,2019,1,Santa Cruz,578.0,60590.0
380,2019,1,Santa Fe,1.299,36.394999999999996
381,2019,1,Santiago Del Estero,642.0,67310.0
382,2019,1,Tierra Del Fuego,634.0,66470.0
383,2019,1,Tucumán,1.657,73.98500000000001
384,2018,4,Buenos Aires,1.693,-55.55874999999999
385,2018,4,Capital Federal,2.294,-39.7825
386,2018,4,Catamarca,804.0,21005.0
387,2018,4,Chaco,1.349,-64.58874999999999
388,2018,4,Chubut,609.0,15886.250000000002
389,2018,4,Córdoba,1.581,-58.49875
390,2018,4,Corrientes,1.214,-68.1325
391,2018,4,Entre Ríos,1.102,-71.07249999999999
392,2018,4,Formosa,982.0,25677.500000000004
393,2018,4,Jujuy,856.0,22370.0
394,2018,4,La Pampa,432.0,11240.0
395,2018,4,La Rioja,709.0,18511.25
396,2018,4,Mendoza,575.0,14993.75
397,2018,4,Misiones,1.25,-67.1875
398,2018,4,Neuquén,1.589,-58.28875
399,2018,4,Río Negro,1.049,-72.46375
400,2018,4,Salta,1.046,-72.5425
401,2018,4,San Juan,572.0,14915.0
402,2018,4,San Luis,882.0,23052.5
403,2018,4,Santa Cruz,512.0,13340.0
